date;RefSt;Sensor_O3;Temp;RelHum
21/06/2017 7:00;15.0;36.3637;21.77;53.97
21/06/2017 7:30;15.0;34.8593;25.5;42.43
21/06/2017 8:00;19.0;37.351;27.97;34.93
21/06/2017 8:30;26.0;43.6993;29.41;32.07
21/06/2017 9:00;34.0;53.96;30.2;30.83
21/06/2017 9:30;47.0;81.314;31.13;30.27
21/06/2017 10:00;67.0;164.7097;32.93;28.47
21/06/2017 10:30;89.0;298.7056;33.0;28.11
21/06/2017 11:00;100.0;311.133;33.07;28.1
21/06/2017 11:30;113.0;351.3267;33.43;28.13
21/06/2017 12:00;124.0;372.6237;35.27;27.1
21/06/2017 12:30;120.0;330.2337;35.83;26.97
21/06/2017 13:00;121.0;308.465;37.13;26.3
21/06/2017 13:30;125.0;305.022;38.87;25.27
21/06/2017 14:00;115.0;314.5213;30.67;30.33
21/06/2017 14:30;104.0;407.6373;20.57;56.83
21/06/2017 15:00;86.0;404.6833;19.1;68.17
21/06/2017 15:30;70.0;259.6717;20.0;68.0
21/06/2017 16:00;56.0;188.4243;20.37;68.17
21/06/2017 16:30;52.0;135.453;21.47;64.33
21/06/2017 17:00;48.0;113.7677;23.33;61.23
21/06/2017 17:30;46.0;90.5667;24.0;59.47
21/06/2017 18:00;51.0;103.7277;24.4;56.83
21/06/2017 18:30;61.0;129.7387;24.2;55.1
21/06/2017 19:00;60.0;131.3393;24.0;56.43
21/06/2017 19:30;61.0;140.064;24.0;54.67
21/06/2017 20:00;60.0;139.6553;24.0;53.53
21/06/2017 20:30;49.0;95.1857;23.27;57.1
21/06/2017 21:00;44.0;81.653;22.07;62.17
21/06/2017 21:30;45.0;92.8713;21.07;65.33
21/06/2017 22:00;20.0;46.3413;21.0;66.87
21/06/2017 22:30;6.0;30.267;21.0;67.33
21/06/2017 23:00;6.0;29.784;20.33;71.67
21/06/2017 23:30;4.0;27.9086;20.0;75.72
22/06/2017 0:00;3.0;26.5593;20.0;78.43
22/06/2017 0:30;2.0;25.6373;20.0;79.17
22/06/2017 1:00;2.0;24.8407;19.23;78.0
22/06/2017 1:30;5.0;27.2787;18.87;78.37
22/06/2017 2:00;4.0;27.5937;18.17;79.03
22/06/2017 2:30;5.0;26.31;18.0;81.0
22/06/2017 3:00;5.0;26.438;18.0;81.0
22/06/2017 3:30;1.0;24.1397;18.0;77.7
22/06/2017 4:00;1.0;25.0283;18.0;76.7
22/06/2017 4:30;1.0;24.6473;18.0;76.97
22/06/2017 5:00;1.0;24.504;18.0;79.13
22/06/2017 5:30;1.0;24.229;18.0;77.43
